assemblyid	Phylum	primary_lifestyle	organism	Class	Order	taxid	species_taxid	name	strain	BUSCO score	Scaffold N50 (Mb)	scaffoldL50	Genome size (Mb)	tAI_mean	tAI_cubar	diff	sum_protein_lengths	mean_proein_len	tRNAscan-SE mean score	tRNAscan-SE medina score		name	assembly	proteomes	bialka dla Magdy	tabelka serwer	google sheet	czy sa dane
GCA_004325065.1	Microsporidia	animal_parasite	Hamiltosporidium magnivora	Microsporidea	Microsporidea order incertae sedis	148818	148818	Hamiltosporidium magnivora		20	0.01	608	20.7	0.375	0.274	0.10	1631661	350.3	64.94	71.65								
GCA_004325075.1	Microsporidia	animal_parasite	Hamiltosporidium tvaerminnensis	Microsporidea	Microsporidea order incertae sedis	1176355	1176355	Hamiltosporidium tvaerminnensis		20.3	0.012	606	25.2	0.295	0.239	0.06	2208637	356.1	66.97	72.70								
GCA_006535955.1	Chytridiomycota	plant_pathogen	Synchytrium endobioticum	Synchytriomycetes	Synchytriales	286115	286115	Synchytrium endobioticum	strain=MB42	74.1	0.044	153	21.5	0.349	0.326	0.02	3789810	471.9	54.63	54.80								
GCA_006535965.1	Chytridiomycota	pollen_saprotroph	Spizellomyces sp, 'palustris'	Spizellomycetes	Spizellomycetales	117820	117820	Spizellomyces sp, 'palustris'	strain=CBS 455,65	91.9	0.219	32	22.9	0.401	0.342	0.06	4514348	530.0	71.05	73.10								
GCA_006535975.1	Chytridiomycota	unspecified_saprotroph	Chytriomyces confervae	Chytridiomycetes	Chytridiales	246404	246404	Chytriomyces confervae	strain=CBS 675,73	74.8	0.044	205	36	0.418	0.361	0.06	6006107	560.7	68.89	69.95								
GCA_006535985.1	Chytridiomycota	plant_pathogen	Synchytrium microbalum	Synchytriomycetes	Synchytriales	1806994	1806994	Synchytrium microbalum	strain=JEL517	78.8	0.519	16	26.2	0.324	0.311	0.01	3624087	574.5	53.88	55.10								
GCA_006536005.1	Chytridiomycota	pollen_saprotroph	Powellomyces hirtus	Spizellomycetes	Spizellomycetales	109895	109895	Powellomyces hirtus	strain=CBS 809,83	89.9	0.158	47	26.2	0.327	0.282	0.04	3661150	560.2	67.87	70.30								
GCA_009809945.1	Glomeromycota	arbuscular_mycorrhizal	Gigaspora margarita	Glomeromycetes	Gigasporales	4874	4874	Gigaspora margarita	strain=BEG34	93.2	0.327	743	773.1	0.037	0.064	-0.03	10382699	345.8	45.26	31.50								
GCA_010203745.1	Mucoromycota	soil_saprotroph	Mucor lusitanicus	Mucoromycetes	Mucorales	29924	29924	Mucor lusitanicus	strain=MU402	97.5	4.574	4	36.8	0.372	0.318	0.05	5108522	431.5	69.08	67.90								
GCA_012184305.1	Ascomycota	animal_parasite	Drechslerella brochopaga	Orbiliomycetes	Orbiliales	47238	47238	Drechslerella brochopaga	strain=YMF1,01829	97	0.513	26	35.4	0.429	0.392	0.04	4473579	456.8	53.69	54.60								
GCA_012184315.1	Ascomycota	animal_parasite	Arthrobotrys entomopaga	Orbiliomycetes	Orbiliales	321852	321852	Arthrobotrys entomopaga	strain=CBS642,8	97.7	0.579	23	38.4	0.354	0.322	0.03	4798295	463.9	54.25	56.40								
GCA_014805555.1	Microsporidia	animal_parasite	Thelohania contejeani	Microsporidea	Glugeida	164912	164912	Thelohania contejeani		23.2	0.027	106	10.4	0.474	0.376	0.10	963404	336.3	72.35	73.00								
GCA_014805705.1	Microsporidia	animal_parasite	Cucumispora dikerogammari	Microsporidea	Glugeida	658444	658444	Cucumispora dikerogammari	strain=Dv6	11.9	0.01	904	32.4	0.380	0.301	0.08	1336928	290.7	70.79	71.60								
GCA_014839865.1	Mucoromycota	soil_saprotroph	Apophysomyces ossiformis	Mucoromycetes	Mucorales	679940	679940	Apophysomyces ossiformis	strain=NRRL A-21654	95.9	0.126	80	34.1	0.476	0.385	0.09	4428848	464.8	66.93	69.00								
GCA_014839935.1	Entomophthoromycota	animal_parasite	Entomophthora muscae	Entomophthoromycetes	Entomophthorales	34485	34485	Entomophthora muscae	strain=Berkeley	67	0.433	818	1228.1	0.416	0.356	0.06	6780428	312.3	62.83	67.80								
GCA_015039355.1	Basidiomycota	ectomycorrhizal	Ramaria rubella	Agaricomycetes	Gomphales	113071	113071	Ramaria rubella	strain=UT-36052-T	97.7	0.229	137	105.5	0.224	0.260	-0.04	6692271	329.7	61.96	62.10								
GCA_015499975.1	Mortierellomycota	soil_saprotroph	Dissophora ornata	Mortierellomycetes	Mortierellales	979620	979620	Dissophora ornata	strain=Z 71	93.9	0.024	467	38.4	0.268	0.243	0.03	5584042	495.9	64.92	68.10								
GCA_015499985.1	Mortierellomycota	soil_saprotroph	Haplosporangium gracile	Mortierellomycetes	Mortierellales	2779863	2779863	Haplosporangium gracile	strain=Z 33	96.5	0.036	377	44.9	0.299	0.266	0.03	6217345	526.3	62.65	66.75								
GCA_015500005.1	Mortierellomycota	soil_saprotroph	Entomortierella lignicola	Mortierellomycetes	Mortierellales	979712	979712	Entomortierella lignicola	strain=Z 36	93.8	0.019	530	35.3	0.329	0.261	0.07	5770214	531.6	64.41	69.30								
GCA_015500155.1	Mortierellomycota	soil_saprotroph	Haplosporangium bisporale	Mortierellomycetes	Mortierellales	1897645	1897645	Haplosporangium bisporale	strain=Z 9	76.6	0.009	1162	39	0.254	0.239	0.01	5254557	393.9	65.83	67.40								
GCA_015502445.1	Mortierellomycota	soil_saprotroph	Mortierella sp, GBA35	Mortierellomycetes	Mortierellales	1896188	1896188	Mortierella sp, GBA35	strain=GBA35	93.6	0.035	382	44.8	0.348	0.302	0.05	6111543	497.6	64.80	70.00								
GCA_015502455.1	Mortierellomycota	soil_saprotroph	Mortierella sp, AM989	Mortierellomycetes	Mortierellales	1896186	1896186	Mortierella sp, AM989	strain=AM989	95.6	0.029	404	40.2	0.324	0.288	0.04	5996130	520.7	64.14	69.20								
GCA_015502465.1	Mortierellomycota	soil_saprotroph	Mortierella sp, 14UC	Mortierellomycetes	Mortierellales	1896178	1896178	Mortierella sp, 14UC	strain=14UC	94.8	0.04	341	45.2	0.262	0.257	0.01	6190979	520.7	64.15	67.40								
GCA_015502475.1	Mortierellomycota	soil_saprotroph	Mortierella sp, AD031	Mortierellomycetes	Mortierellales	1896182	1896182	Mortierella sp, AD031	strain=AD031	93.5	0.037	364	44.8	0.392	0.335	0.06	6205727	487.9	63.24	67.40								
GCA_015502485.1	Mortierellomycota	soil_saprotroph	Mortierella sp, GBA39	Mortierellomycetes	Mortierellales	1896189	1896189	Mortierella sp, GBA39	strain=GBA39	95.6	0.033	455	50.9	0.356	0.308	0.05	7485842	492.7	65.40	67.25								
GCA_015502505.1	Mortierellomycota	soil_saprotroph	Linnemannia schmuckeri	Mortierellomycetes	Mortierellales	64567	64567	Linnemannia schmuckeri	strain=NRRL 6426	94.2	0.026	542	46.1	0.233	0.229	0.00	6116195	507.1	64.79	67.90								
GCA_015502575.1	Mortierellomycota	soil_saprotroph	Mortierella sp, AD010	Mortierellomycetes	Mortierellales	1896179	1896179	Mortierella sp, AD010	strain=AD010	94	0.019	581	38.6	0.318	0.266	0.05	5824067	500.1	62.63	67.70								
GCA_015529505.1	Mortierellomycota	soil_saprotroph	Haplosporangium sp, Z 11	Mortierellomycetes	Mortierellales	1897648	1897648	Haplosporangium sp, Z 11	strain=Z 11	96.5	0.057	182	33.5	0.367	0.315	0.05	5393244	552.8	66.80	71.50								
GCA_015529515.1	Mortierellomycota	soil_saprotroph	Haplosporangium sp, Z 767	Mortierellomycetes	Mortierellales	1897647	1897647	Haplosporangium sp, Z 767	strain=Z 767	96.7	0.06	170	33.5	0.298	0.251	0.05	5386228	552.2	66.80	71.10								
GCA_015529795.1	Mortierellomycota	soil_saprotroph	Haplosporangium sp, Z 27	Mortierellomycetes	Mortierellales	1897644	1897644	Haplosporangium sp, Z 27	strain=Z 27	94.6	0.021	515	36.1	0.400	0.329	0.07	5802464	534.8	63.33	67.70								
GCA_015679515.1	Mortierellomycota	soil_saprotroph	Mortierella sp, NVP85	Mortierellomycetes	Mortierellales	1896193	1896193	Mortierella sp, NVP85	strain=NVP85	93.1	0.022	548	42.8	0.396	0.379	0.02	6150547	506.8	65.34	68.10								
GCA_015679535.1	Mortierellomycota	soil_saprotroph	Podila horticola	Mortierellomycetes	Mortierellales	311239	311239	Podila horticola	strain=CK413	93.3	0.056	222	40.4	0.255	0.205	0.05	5830452	492.3	68.17	71.50								
GCA_015679545.1	Mortierellomycota	soil_saprotroph	Mortierella sp, AD094	Mortierellomycetes	Mortierellales	1896185	1896185	Mortierella sp, AD094	strain=AD094	94.8	0.021	609	43.8	0.231	0.230	0.00	6329326	487.1	59.48	60.80								
GCA_015679585.1	Mortierellomycota	soil_saprotroph	Entomortierella beljakovae	Mortierellomycetes	Mortierellales	979673	979673	Entomortierella beljakovae	strain=KOD1040	96	0.019	598	37.8	0.388	0.356	0.03	5836780	493.8	59.95	62.05								
GCA_015679605.1	Mortierellomycota	soil_saprotroph	Podila epigama	Mortierellomycetes	Mortierellales	979699	979699	Podila epigama	strain=NRRL 5512	90.7	0.016	649	32.9	0.327	0.265	0.06	5286864	510.8	65.67	68.70								
GCA_015679695.1	Mortierellomycota	soil_saprotroph	Mortierella sp, AD011	Mortierellomycetes	Mortierellales	1896180	1896180	Mortierella sp, AD011	strain=AD011	93.8	0.019	592	38.6	0.315	0.287	0.03	5796586	500.3	62.46	67.40								
GCA_015680625.1	Mortierellomycota	soil_saprotroph	Mortierella hygrophila	Mortierellomycetes	Mortierellales	979708	979708	Mortierella hygrophila	strain=NRRL 2591	95.9	0.129	102	46.1	0.388	0.332	0.06	6565112	535.7	66.05	70.75								
GCA_015680635.1	Mortierellomycota	soil_saprotroph	Lunasporangiospora selenospora	Mortierellomycetes	Mortierellales	979761	979761	Lunasporangiospora selenospora	strain=KOD1015	87.5	0.008	1396	40.5	0.373	0.318	0.06	4987997	455.5	62.80	64.10								
GCA_015698045.1	Glomeromycota	arbuscular_mycorrhizal	Rhizophagus clarus	Glomeromycetes	Glomerales	94130	94130	Rhizophagus clarus	strain=HR1	94.7	1.307	40	146.8	0.335	0.266	0.07	12282981	377.5	64.92	68.20								
GCA_015832245.1	Microsporidia	animal_parasite	Nosema granulosis	Microsporidea	Nosematida	83296	83296	Nosema granulosis	strain=Ou3-Ou53	20.7	0.013	187	8.9	0.089	0.418	-0.33	1119643	307.7	63.30	68.15								
GCA_015847235.1	Mortierellomycota	soil_saprotroph	Linnemannia zychae	Mortierellomycetes	Mortierellales	979765	979765	Linnemannia zychae	strain=NRRL 2592	96.7	0.121	120	45.7	0.351	0.301	0.05	6259054	554.7	66.97	70.40								
GCA_015849295.1	Mortierellomycota	soil_saprotroph	Modicella reniformis	Mortierellomycetes	Mortierellales	1440133	1440133	Modicella reniformis	strain=MES-2147	82.1	0.006	2102	43.6	0.443	0.270	0.17	4931275	382.3	59.31	58.55		Umbelopsis isabellina	GCA_016758905.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_015849325.1	Mortierellomycota	soil_saprotroph	Mortierella antarctica	Mortierellomycetes	Mortierellales	979670	979670	Mortierella antarctica	strain=KOD1229	96.3	0.047	226	35.5	0.353	0.316	0.04	5470406	530.5	68.81	71.50		Syncephalastrum racemosum	GCA_002105135.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_015849335.1	Mortierellomycota	soil_saprotroph	Entomortierella chlamydospora	Mortierellomycetes	Mortierellales	101097	101097	Entomortierella chlamydospora	strain=AD033	95.6	0.024	479	39	0.302	0.303	0.00	5813997	523.9	62.92	66.40		Mucor circinatus	GCA_016758965.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_015852385.1	Mortierellomycota	soil_saprotroph	Podila clonocystis	Mortierellomycetes	Mortierellales	979688	979688	Podila clonocystis	strain=AM1000	94.2	0.033	376	41.4	0.257	0.223	0.03	5683219	486.3	65.97	68.10		Apophysomyces sp, BC1015	GCA_016097715.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_015852425.1	Mortierellomycota	soil_saprotroph	Gryganskiella cystojenkinii	Mortierellomycetes	Mortierellales	979690	979690	Gryganskiella cystojenkinii	strain=1230	94.6	0.037	346	42.9	0.252	0.233	0.02	6451200	534.1	65.70	70.60		Podila minutissima	GCA_016098005.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_015852495.1	Mortierellomycota	soil_saprotroph	Podila epicladia	Mortierellomycetes	Mortierellales	979697	979697	Podila epicladia	strain=KOD1059	92.1	0.031	363	38.1	0.278	0.244	0.03	5525828	487.3	69.28	71.10		Podila horticola	GCA_015679535.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_016097715.1	Mucoromycota	soil_saprotroph	Apophysomyces sp, BC1015	Mucoromycetes	Mucorales	2184030	2184030	Apophysomyces sp, BC1015	strain=BC1015	96	0.037	291	37.6	0.386	0.371	0.01	4984927	437.3	62.92	66.15		Podila epigama	GCA_015679605.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_016097735.1	Mucoromycota	soil_saprotroph	Apophysomyces sp, BC1021	Mucoromycetes	Mucorales	2184031	2184031	Apophysomyces sp, BC1021	strain=BC1021	95.8	0.038	271	35.1	0.437	0.341	0.10	4431475	435.3	63.37	66.20		Podila epicladia	GCA_015852495.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_016097755.1	Mucoromycota	soil_saprotroph	Apophysomyces sp, BC1034	Mucoromycetes	Mucorales	2184029	2184029	Apophysomyces sp, BC1034	strain=BC1034	95.8	0.04	270	37.8	0.440	0.339	0.10	5097406	437.8	62.48	65.65		Mortierella sp, GBA39	GCA_015502485.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_016097855.1	Mortierellomycota	soil_saprotroph	Linnemannia gamsii	Mortierellomycetes	Mortierellales	64522	64522	Linnemannia gamsii	strain=AD045	95.2	0.033	430	49.3	0.379	0.328	0.05	6500031	510.9	64.02	67.10		Mortierella sp, GBA35	GCA_015502445.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_016097895.1	Mortierellomycota	soil_saprotroph	Linnemannia exigua	Mortierellomycetes	Mortierellales	604196	604196	Linnemannia exigua	strain=NRRL 28262	92.4	0.02	732	48.1	0.351	0.339	0.01	5931682	489.4	62.16	66.35		Mortierella sp, AD094	GCA_015679545.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_016097935.1	Mortierellomycota	soil_saprotroph	Dissophora globulifera	Mortierellomycetes	Mortierellales	979702	979702	Dissophora globulifera	strain=REB-010B	95.2	0.037	303	39.2	0.315	0.302	0.01	5718818	549.2	67.18	71.35		Mortierella sp, AD010	GCA_015502575.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_016097945.1	Mortierellomycota	soil_saprotroph	Podila humilis	Mortierellomycetes	Mortierellales	64523	64523	Podila humilis	strain=KOD1050	79.5	0.016	551	29.2	0.510	0.295	0.22	4816201	569.0	58.48	58.10		Linnemannia exigua	GCA_016097895.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_016098005.1	Mortierellomycota	soil_saprotroph	Podila minutissima	Mortierellomycetes	Mortierellales	64525	64525	Podila minutissima	strain=AD069	94.2	0.03	389	39.4	0.318	0.276	0.04	5754877	484.2	69.27	71.50		Haplosporangium sp, Z 27	GCA_015529795.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_016098015.1	Mortierellomycota	soil_saprotroph	Gamsiella multidivaricata	Mortierellomycetes	Mortierellales	101098	101098	Gamsiella multidivaricata	strain=NRRL 6456	92.4	0.023	469	36	0.336	0.395	-0.06	5310230	503.5	64.07	67.20		Haplosporangium gracile	GCA_015499985.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_016098025.1	Mortierellomycota	soil_saprotroph	Mortierella sp, AD032	Mortierellomycetes	Mortierellales	1896183	1896183	Mortierella sp, AD032	strain=AD032	93.5	0.027	568	49.3	0.359	0.303	0.06	6153165	482.6	61.81	66.70		Haplosporangium bisporale	GCA_015500155.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_016098035.1	Mortierellomycota	soil_saprotroph	Mortierella sp, GBA30	Mortierellomycetes	Mortierellales	1896187	1896187	Mortierella sp, GBA30	strain=GBA30	95.3	0.051	222	37	0.302	0.275	0.03	5636917	538.3	65.07	69.20		Rhizophagus diaphanus	GCA_003549995.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_016098045.1	Mortierellomycota	soil_saprotroph	Mortierella sp, GBA43	Mortierellomycetes	Mortierellales	1896190	1896190	Mortierella sp, GBA43	strain=GBA43	95.1	0.033	343	39.2	0.405	0.328	0.08	6007125	517.8	67.48	71.20		Ustilago maydis 521	GCA_000328475.2	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_016098085.1	Mortierellomycota	soil_saprotroph	Mortierella sp, NVP41	Mortierellomycetes	Mortierellales	1896192	1896192	Mortierella sp, NVP41	strain=NVP41	95.2	0.051	266	45.1	0.322	0.293	0.03	6417164	511.6	63.73	68.10		Serpula lacrymans var, lacrymans S7,9	GCA_000218685.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_016098105.1	Mortierellomycota	soil_saprotroph	Actinomortierella wolfii	Mortierellomycetes	Mortierellales	90253	90253	Actinomortierella wolfii	strain=NRRL 6351	96.6	0.094	113	34.2	0.379	0.330	0.05	4860348	581.3	61.92	62.65		Ramaria rubella	GCA_015039355.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_016098155.1	Mortierellomycota	soil_saprotroph	Actinomortierella ambigua	Mortierellomycetes	Mortierellales	1343610	1343610	Actinomortierella ambigua	strain=BC1065	96.6	0.049	243	37.9	0.335	0.282	0.05	5517060	557.7	67.72	69.30		Drechslerella brochopaga	GCA_012184305.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_016098165.1	Mortierellomycota	soil_saprotroph	Mortierella polycephala	Mortierellomycetes	Mortierellales	41804	41804	Mortierella polycephala	strain=KOD948	95	0.032	303	32.6	0.437	0.355	0.08	5259344	516.3	64.40	67.20		Arthrobotrys oligospora ATCC 24927	GCA_000225545.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_016255985.1	Microsporidia	animal_parasite	Dictyocoela roeselum	Microsporidea	Glugeida	288439	288439	Dictyocoela roeselum		5.7	0.003	247	2.2	0.305	0.498	-0.19	340143	283.2	63.06	69.90		Thelohania contejeani	GCA_014805555.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_016256075.1	Microsporidia	animal_parasite	Dictyocoela muelleri	Microsporidea	Glugeida	279532	279532	Dictyocoela muelleri		15.2	0.007	1832	41.9	0.392	0.309	0.08	1703142	264.4	71.05	71.70		Nosema apis BRL 01	GCA_000447185.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_016748015.1	Glomeromycota	lichenized	Geosiphon pyriformis	Archaeosporomycetes	Archaeosporales	50956	50956	Geosiphon pyriformis	strain=uo1	87.9	0.703	57	128.3	0.341	0.274	0.07	9294755	388.3	71.37	73.30		Nematocida sp, 1 ERTm6	GCA_001642415.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_016758895.1	Mucoromycota	soil_saprotroph	Umbelopsis vinacea	Umbelopsidomycetes	Umbelopsidales	44442	44442	Umbelopsis vinacea	strain=WA0000051536	95.7	1.328	7	23.2	0.459	0.376	0.08	4323860	468.0	68.71	71.40		Enterocytozoon bieneusi H348	GCA_000209485.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_016758905.1	Mucoromycota	soil_saprotroph	Umbelopsis isabellina	Umbelopsidomycetes	Umbelopsidales	91625	91625	Umbelopsis isabellina	strain=WA0000067209	96.6	1.335	7	22.1	0.444	0.355	0.09	4213353	466.4	68.64	71.45		Dictyocoela roeselum	GCA_016255985.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_016758935.1	Mucoromycota	soil_saprotroph	Thamnidium elegans	Mucoromycetes	Mucorales	101142	101142	Thamnidium elegans	strain=WA0000018081	92.1	0.099	91	30.9	0.398	0.347	0.05	4351615	448.0	66.76	67.90		Neocallimastix sp JGI 2020a	GCA_016946835.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_016758945.1	Mucoromycota	soil_saprotroph	Mucor plumbeus	Mucoromycetes	Mucorales	97098	97098	Mucor plumbeus	strain=CBS 226,32	95.9	0.048	310	48.4	0.104	0.373	-0.27	5408476	462.7	57.25	65.30		Thamnocephalis sphaerospora	GCA_003614735.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_016758965.1	Mucoromycota	soil_saprotroph	Mucor circinatus	Mucoromycetes	Mucorales	2054153	2054153	Mucor circinatus	strain=CBS 142,35	95.1	0.117	125	54.2	0.344	0.366	-0.02	6214697	439.4	60.56	66.00		Syncephalis pseudoplumigaleata	GCA_003614755.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_016758985.1	Mucoromycota	soil_saprotroph	Mucor saturninus	Mucoromycetes	Mucorales	64648	64648	Mucor saturninus	strain=WA0000017839	97.5	0.151	72	39.2	0.378	0.309	0.07	5874686	451.2	65.89	66.60		Basidiobolus meristosporus CBS 931,73	GCA_002104905.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_016906535.1	Basidiomycota	plant_pathogen	Rhizoctonia solani	Agaricomycetes	Cantharellales	456999	456999	Rhizoctonia solani	strain=AG-1 IA	89.3	2.303	7	40.7	0.381	0.384	0.00	6625076	538.6	60.88	62.20		Gamsiella multidivaricata	GCA_016098015.1	FALSE	FALSE	TRUE	FALSE	FALSE
GCA_016946835.1	Neocallimastigomycota	animal_endosymbiont	Neocallimastix sp, JGI-2020a	Neocallimastigomycetes	Neocallimastigales	2767002	2767002	Neocallimastix sp, JGI-2020a	strain=sp3	85.8	1.032	61	201	0.359	0.280	0.08	13239464	478.4	67.27	69.60		Entomortierella lignicola	GCA_015500005.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_017911155.1	Olpidiomycota	algal_parasite	Olpidium bornovanus	Olpidiomycetes	Olpidiales	278681	278681	Olpidium bornovanus		27	0.002	4329	28.2	0.071	0.082	-0.01	2380952	280.9	60.00	63.20		Entomortierella chlamydospora	GCA_015849335.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_019456465.1	Ascomycota	lichenized	Bacidia gigantensis	Lecanoromycetes	Lecanorales	2732470	2732470	Bacidia gigantensis		98.1	1.807	8	33.1	0.228	0.234	-0.01	4728685	512.4	51.40	54.10		Entomortierella beljakovae	GCA_015679585.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_019671135.1	Mortierellomycota	soil_saprotroph	Linnemannia hyalina	Mortierellomycetes	Mortierellales	64524	64524	Linnemannia hyalina	strain=SCG-10	96.2	2.318	9	51.6	0.343	0.297	0.05	6976616	549.6	64.79	68.10		Dissophora ornata	GCA_015499975.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_900079185.1	Mucoromycota	soil_saprotroph	Absidia glauca	Mucoromycetes	Mucorales	4829	4829	Absidia glauca	strain=CBS 101,48 substr, RVII-324 met-	92.6	0.318	41	48.7	0.158	0.366	-0.21	6556520	440.3	63.81	66.80		Dissophora globulifera	GCA_016097935.1	FALSE	FALSE	FALSE	FALSE	FALSE
GCA_905067625.1	Ascomycota	plant_pathogen	Blumeria graminis f, sp, triticale	Leotiomycetes	Erysiphales	1689686	34373	Blumeria graminis f, sp, triticale		98.7	15.158	4	141.4	0.306	0.339	-0.03	3419952	428.0	57.92	59.80		Actinomortierella wolfii	GCA_016098105.1	TRUE	TRUE	TRUE	TRUE	FALSE
