pfam_id	pfam_description
PF04304	Protein of unknown function (DUF454)
PF04305	Protein of unknown function (DUF455)
PF04306	Protein of unknown function (DUF456)
PF04307	YdjM inner membrane protein
PF04308	Ribonuclease H-like
PF04309	Glycerol-3-phosphate responsive antiterminator
PF04310	MukB N-terminal
PF04311	Protein of unknown function (DUF459)
PF04312	Protein of unknown function (DUF460)
PF04313	Type I restriction enzyme R protein N terminus (HSDR_N)
PF04314	Putative lipoprotein LpqE-like
PF04315	Elongation factor P hydroxylase
PF04316	Anti-sigma-28 factor, FlgM
PF04317	YcjX-like family, DUF463
PF04318	Protein of unknown function (DUF468)
PF04319	NifZ domain
PF04320	YggL 50S ribosome-binding protein
PF04321	RmlD substrate binding domain
PF04322	Protein of unknown function (DUF473)
PF04324	BFD-like [2Fe-2S] binding domain
PF04325	Protein of unknown function (DUF465)
PF04326	Schlafen, AlbA_2
PF04327	Cysteine protease Prp
PF04328	Selenoprotein, putative
PF04332	Protein of unknown function (DUF475)
PF04333	MlaA lipoprotein
PF04334	Protein of unknown function (DUF478)
PF04335	VirB8 protein
PF04336	Acyl carrier protein phosphodiesterase
PF04337	Protein of unknown function, DUF480
PF04338	Protein of unknown function, DUF481
PF04339	Peptidogalycan biosysnthesis/recognition
PF04340	Protein of unknown function, DUF484
PF04341	Protein of unknown function, DUF485
PF04342	Putative member of DMT superfamily (DUF486)
PF04343	Domain of unknown function DUF488
PF04344	Chemotaxis phosphatase, CheZ
PF04345	Chorismate lyase
PF04346	Ethanolamine utilisation protein, EutH
PF04347	Flagellar biosynthesis protein, FliO
PF04348	LppC putative lipoprotein
PF04349	Periplasmic glucan biosynthesis protein, MdoG
PF04350	Type IVa pilus alignment subcomplex PilO C-terminal domain
PF04351	Pilus assembly protein, PilP
PF04352	ProQ/FINO family
PF04353	Regulator of RNA polymerase sigma(70) subunit, Rsd/AlgQ
PF04354	ZipA, C-terminal FtsZ-binding domain
PF04355	Outer membrane protein assembly factor BamE domain
PF04356	Protein of unknown function (DUF489)
PF04357	TamB C-terminal domain
PF04358	DsrC like protein
PF04359	Protein of unknown function (DUF493)
PF04360	Serglycin
PF04361	Protein of unknown function (DUF494)
PF04362	Bacterial Fe(2+) trafficking
PF04363	Protein of unknown function (DUF496)
PF04364	DNA polymerase III chi subunit, HolC
PF04365	Ribonuclease toxin, BrnT, of type II toxin-antitoxin system
PF04366	Las17-binding protein actin regulator
PF04367	Protein of unknown function (DUF502)
PF04368	Protein of unknown function (DUF507)
PF04369	Lactococcin-like family
PF04370	Domain of unknown function (DUF508)
PF04371	Porphyromonas-type peptidyl-arginine deiminase
PF04375	HemX, putative uroporphyrinogen-III C-methyltransferase
PF04376	Arginine-tRNA-protein transferase, N terminus
PF04377	Arginine-tRNA-protein transferase, C terminus
PF04378	Ribosomal RNA large subunit methyltransferase D, RlmJ
PF04379	ApaG domain
PF04380	Membrane fusogenic activity
PF04381	Putative exonuclease, RdgC
PF04382	SAB domain
PF04383	KilA-N domain
PF04384	Iron-sulphur cluster assembly
PF04385	Domain of unknown function, DUF529
PF04386	Stringent starvation protein B
PF04387	Protein tyrosine phosphatase-like protein, PTPLA
PF04388	Hamartin, N-terminal domain
PF04389	Peptidase family M28
PF04390	Lipopolysaccharide-assembly
PF04391	Protein of unknown function (DUF533)
PF04392	ABC transporter substrate binding protein
PF04393	Protein of unknown function (DUF535)
PF04394	Protein of unknown function, DUF536
PF04395	Poxvirus B22R protein
PF04397	LytTr DNA-binding domain
PF04398	Protein of unknown function, DUF538
PF04399	Glutaredoxin 2, C terminal domain
PF04400	(Na+)-NQR maturation NqrM
PF04402	Protein of unknown function (DUF541)
PF04403	Paraquat-inducible protein A
PF04404	ERF superfamily
PF04405	Domain of Unknown function (DUF542)
PF04406	Type IIB DNA topoisomerase
PF04407	Protein of unknown function (DUF531)
PF04408	Helicase associated domain (HA2), winged-helix
PF04409	Protein of unknown function (DUF530)
PF04410	Gar1/Naf1 RNA binding region
PF04411	PD-(D/E)XK nuclease superfamily
PF04412	Aconitase X first domain
PF04413	3-Deoxy-D-manno-octulosonic-acid transferase (kdotransferase)
PF04414	D-aminoacyl-tRNA deacylase
PF04415	Protein of unknown function (DUF515)
PF04417	Protein of unknown function (DUF501)
PF04418	Domain of unknown function (DUF543)
PF04419	Small EDRK-rich factor 1/2-like, N-terminal
PF04420	CHD5-like protein
PF04421	Mss4 protein
PF04422	Coenzyme F420 hydrogenase/dehydrogenase, beta subunit N-term
PF04423	Rad50 zinc hook motif
PF04424	MINDY deubiquitinase
PF04425	Bul1 N terminus
PF04426	Bul1 C terminus
PF04427	Brix domain
PF04428	Choline kinase N terminus
PF04430	Protein of unknown function (DUF498/DUF598)
PF04431	Pectate lyase, N terminus
PF04432	Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C terminus
PF04433	SWIRM domain
PF04434	SWIM zinc finger
PF04435	Domain of unknown function (DUF545)
PF04437	RINT-1/TIP-1 family
PF04438	HIT zinc finger
PF04439	Streptomycin adenylyltransferase
PF04440	Dysbindin (Dystrobrevin binding protein 1)
PF04441	Poxvirus early transcription factor (VETF), large subunit
PF04442	Cytochrome c oxidase assembly protein CtaG/Cox11
PF04443	Acyl-protein synthetase, LuxE
PF04444	Catechol dioxygenase N terminus
PF04445	Putative SAM-dependent methyltransferase
PF04446	tRNAHis guanylyltransferase
PF04447	dATP/dGTP pyrophosphohydrolase
PF04448	Protein of unknown function (DUF551)
PF04449	CS1 type fimbrial major subunit
PF04450	Peptidase of plants and bacteria
PF04451	Large eukaryotic DNA virus major capsid protein
PF04452	RNA methyltransferase domain
PF04453	LPS transport system D
PF04454	Encapsulating protein for peroxidase
PF04455	LOR/SDH bifunctional enzyme conserved region
PF04456	Protein of unknown function (DUF503)
PF04457	MJ1316 RNA cyclic group end recognition domain
PF04458	Protein of unknown function (DUF505)
PF04459	Protein of unknown function (DUF512)
PF04461	Nucleotide-binding protein YajQ-like
PF04463	2-thiouracil desulfurase
PF04464	CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase
PF04465	DUF499 N-terminal domain
PF04466	Phage terminase large subunit
PF04467	Protein of unknown function (DUF483)
PF04468	PSP1 C-terminal conserved region
PF04471	Restriction endonuclease
PF04472	Cell division protein SepF
PF04473	Transglutaminase-like domain
PF04474	Protein of unknown function (DUF554)
PF04475	Protein of unknown function (DUF555)
PF04476	4-HFC-P synthase
PF04478	Mid2 like cell wall stress sensor
PF04479	RTA1 like protein
PF04480	Protein of unknown function (DUF559)
PF04481	Protein of unknown function (DUF561)
PF04483	Protein of unknown function (DUF565)
PF04484	QWRF family
PF04485	Phycobilisome degradation protein nblA
PF04486	SchA/CurD like domain
PF04487	CITED
PF04488	Glycosyltransferase sugar-binding region containing DXD motif
PF04489	Protein of unknown function (DUF570)
PF04490	Poxvirus T4 protein, C terminus
PF04491	Poxvirus T4 protein, N terminus
PF04492	Bacteriophage replication protein O
PF04493	Endonuclease V
PF04494	WD40 associated region in TFIID subunit, NTD2 domain
PF04495	GRASP55/65 PDZ-like domain
PF04496	Herpesvirus UL35 family
PF04497	Poxviridae protein
PF04498	Poxvirus nucleic acid binding protein VP8/L4R
PF04499	SIT4 phosphatase-associated protein
PF04500	FLYWCH zinc finger domain
PF04501	Baculovirus major capsid protein VP39
PF04502	Saf4/Yju2 protein
PF04503	SSDP conserved region
PF04504	Glabrous-enhancer-binding protein-like family, DBD domain
PF04505	Interferon-induced transmembrane protein
PF04506	Rft protein
PF04507	Csa1 family
PF04508	Viral A-type inclusion protein repeat
PF04509	CheC-like family
PF04510	Repeat of unknown function (DUF577)
PF04511	Der1-like family
PF04512	Baculovirus polyhedron envelope protein, PEP, N terminus
PF04513	Baculovirus polyhedron envelope protein, PEP, C terminus
PF04514	Bluetongue virus non-structural protein NS2
PF04515	Plasma-membrane choline transporter
PF04516	CP2 transcription factor
PF04517	Microvirus lysis protein (E), C terminus
PF04518	Effector from type III secretion system
PF04519	Polymer-forming cytoskeletal
PF04520	Senescence regulator
PF04521	ssRNA positive strand viral 18kD cysteine rich protein
PF04522	Broad bean mottle virus, Gp1, N-terminal
PF04523	Herpes virus tegument protein U30
PF04525	LURP-one-related
PF04526	Protein of unknown function (DUF568)
PF04527	Drosophila Retinin like protein
PF04528	Adenovirus early E4 34 kDa protein conserved region
PF04529	Herpesvirus U59 protein
PF04530	Viral Beta C/D like family
PF04531	Bacteriophage holin
PF04532	Protein of unknown function (DUF587)
PF04533	Herpes virus U44 protein
PF04534	Herpesvirus UL56 protein
PF04535	Casparian strip membrane protein domain
PF04536	TPM domain
PF04537	Herpesvirus UL55 protein
PF04538	Brain expressed X-linked like family
PF04539	Sigma-70 region 3
PF04540	Herpesvirus UL51 protein
PF04541	Herpesvirus virion protein U34
PF04542	Sigma-70 region 2
PF04544	Herpesvirus egress protein UL20
PF04545	Sigma-70, region 4
PF04546	Sigma-70, non-essential region
PF04547	Calcium-activated chloride channel
PF04548	AIG1 family
PF04549	CD47 transmembrane region
PF04550	Phage holin family 2
PF04551	GcpE TIM-barrel domain
PF04552	Sigma-54, DNA binding domain
PF04553	Tis11B like protein, N terminus
PF04554	Extensin-like region
PF04555	Restriction endonuclease XhoI
PF04556	DpnII restriction endonuclease
PF04557	Glutaminyl-tRNA synthetase, non-specific RNA binding region part 2
PF04558	Glutaminyl-tRNA synthetase, non-specific RNA binding region part 1
PF04559	Herpesvirus UL17 protein
PF04560	RNA polymerase Rpb2, domain 7
PF04561	RNA polymerase Rpb2, domain 2
PF04562	Dictyostelium spore coat protein, N terminus
PF04563	RNA polymerase beta subunit
PF04564	U-box domain
PF04565	RNA polymerase Rpb2, domain 3
PF04566	RNA polymerase Rpb2, domain 4
PF04567	RNA polymerase Rpb2, domain 5
PF04568	Mitochondrial ATPase inhibitor, IATP
PF04569	Protein of unknown function
PF04570	zinc-finger of the FCS-type, C2-C2
PF04571	lipin, N-terminal conserved region
PF04572	Alpha 1,4-glycosyltransferase conserved region
PF04573	Signal peptidase subunit
PF04574	Protein of unknown function (DUF592)
PF04575	Surface lipoprotein assembly modifier
PF04576	Zein-binding
PF04577	Glycosyltransferase 61
PF04578	Protein of unknown function, DUF594
PF04579	Keratin, high-sulphur matrix protein
PF04580	Chordopoxvirinae D3 protein
PF04582	Reovirus sigma C capsid protein C-terminal domain
PF04583	Baculoviridae p74 conserved region
PF04584	Poxvirus A28 family
PF04586	Caudovirus prohead serine protease
PF04587	ADP-specific Phosphofructokinase/Glucokinase conserved region
PF04588	Hypoxia induced protein conserved region
PF04589	RFX1 transcription activation region
PF04591	Protein of unknown function, DUF596
PF04592	Selenoprotein P, N terminal region
PF04593	Selenoprotein P, C terminal region
PF04595	Poxvirus I6-like family
PF04596	Poxvirus protein F15
PF04597	Ribophorin I
PF04598	Gasdermin pore forming domain
PF04599	Poxvirus G5 protein
PF04601	Beta-trefoil domain of unknown function (DUF569)
PF04602	Mycobacterial cell wall arabinan synthesis protein
PF04603	Ran-interacting Mog1 protein
PF04604	Type-A lantibiotic
PF04606	Ogr/Delta-like zinc finger
PF04607	Region found in RelA / SpoT proteins
PF04608	Phosphatidylglycerophosphatase A
PF04609	Methyl-coenzyme M reductase operon protein C
PF04610	TrbL/VirB6 plasmid conjugal transfer protein
PF04611	Mating type protein A alpha Y mating type dependent binding region
PF04612	Type II secretion system (T2SS), protein M
PF04613	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase, LpxD
PF04614	Pex19 protein family
PF04615	Utp14 protein
PF04616	Glycosyl hydrolases family 43
PF04617	Hox9 activation region
PF04618	HD-ZIP protein N terminus
PF04619	Dr-family adhesin
PF04620	Flagellar filament outer layer protein Flaa
PF04621	PEA3 subfamily ETS-domain transcription factor N terminal domain
PF04622	ERG2 and Sigma1 receptor like protein
PF04623	Adenovirus E1B protein N-terminus
PF04624	Dec-1 repeat
PF04625	DEC-1 protein, N-terminal region
PF04626	Dec-1 protein, C terminal region
PF04627	Mitochondrial ATP synthase epsilon chain
PF04628	Sedlin
PF04629	Islet cell autoantigen ICA69, C-terminal domain
PF04630	Phage tail tube protein
PF04631	Per os infectivity factor 2
PF04632	Fusaric acid resistance protein family
PF04633	Herpesvirus BMRF2 protein
PF04634	Immunity protein YezG-like
PF04636	PA26 p53-induced protein (sestrin)
PF04637	Herpesvirus phosphoprotein 85 (HHV6-7 U14/HCMV UL25)
PF04639	Baculoviral E56 protein, specific to ODV envelope
PF04640	PLATZ transcription factor
PF04641	Rtf2 RING-finger
PF04642	Protein of unknown function, DUF601
PF04643	Motilin/ghrelin-associated peptide
PF04644	Motilin/ghrelin
PF04645	Protein of unknown function, DUF603
PF04646	Protein of unknown function, DUF604
PF04647	Accessory gene regulator B
PF04648	Yeast mating factor alpha hormone
PF04650	YSIRK type signal peptide
PF04651	Poxvirus A12 protein
PF04652	Vta1 like
PF04654	Protein of unknown function, DUF599
PF04655	Aminoglycoside/hydroxyurea antibiotic resistance kinase
PF04656	Pox virus E6 protein
PF04657	Putative inner membrane exporter, YdcZ
PF04658	TAFII55 protein conserved region
PF04659	Archaeal flagella protein
PF04660	Nanovirus coat protein
PF04661	Poxvirus I3 ssDNA-binding protein
PF04662	Luteovirus P0 protein
PF04663	Phenol hydroxylase
PF04664	Opioid growth factor receptor (OGFr) conserved region
PF04665	Poxvirus A32 protein
PF04666	MGAT4 conserved region
PF04667	cAMP-regulated phosphoprotein/endosulfine conserved region
PF04668	Twisted gastrulation (Tsg) protein conserved region
PF04669	PBDC1 protein
PF04670	Gtr1/RagA G protein conserved region
PF04671	Erythrocyte membrane-associated giant protein antigen 332
PF04672	S-adenosyl methyltransferase
PF04673	Polyketide synthesis cyclase
PF04674	Phosphate-induced protein 1 conserved region
PF04675	DNA ligase N terminus
PF04676	Protein similar to CwfJ C-terminus 2
PF04677	Protein similar to CwfJ C-terminal
PF04678	Mitochondrial calcium uniporter
PF04679	ATP dependent DNA ligase C terminal region
PF04680	Opioid growth factor receptor disordered repeat
PF04681	Blastomyces yeast-phase-specific protein
PF04682	Herpesvirus BTRF1 protein conserved region
PF04683	Proteasome complex subunit Rpn13, Pru domain
PF04684	BAF1 / ABF1 chromatin reorganising factor
PF04685	Glycosyl-hydrolase family 116, catalytic region
PF04686	Streptomyces sporulation and cell division protein, SsgA
PF04687	Microvirus H protein (pilot protein)
PF04688	SPP1 phage holin
PF04689	DNA binding protein S1FA
PF04690	YABBY protein, C-terminal
PF04691	Apolipoprotein C-I (ApoC-1)
PF04692	Platelet-derived growth factor, N terminal region
PF04693	Archaeal putative transposase ISC1217
PF04694	Coronavirus ORF3 protein
PF04695	Pex14 N-terminal domain
PF04696	pinin/SDK/memA/ protein conserved region
PF04697	pinin/SDK conserved region
PF04698	Rab effector MyRIP/melanophilin C-terminus
PF04699	ARP2/3 complex 16 kDa subunit (p16-Arc)
PF04700	Structural glycoprotein p40/gp41 conserved region
PF04701	Pox virus D2 protein
PF04702	Vicilin N terminal region
PF04703	FaeA-like protein
PF04704	Zfx/Zfy transcription activation region
PF04705	Thiostrepton-resistance methylase, N terminus
PF04706	Dickkopf N-terminal cysteine-rich region
PF04707	PRELI-like family
PF04708	Poxvirus F16 protein
PF04709	Anti-Mullerian hormone, N terminal region
PF04710	Pellino, FHA domain
PF04711	Apolipoprotein A-II (ApoA-II)
PF04712	Radial spokehead-like protein
PF04713	Poxvirus protein I5
PF04714	BCL7, N-terminal conserver region
PF04716	ETC complex I subunit conserved region
PF04717	Type VI secretion system/phage-baseplate injector OB domain
PF04718	Mitochondrial ATP synthase g subunit
PF04719	hTAFII28-like protein conserved region
PF04720	PDDEXK-like family of unknown function
PF04721	PNGase C-terminal domain, mannose-binding module PAW
PF04722	Ssu72-like protein
PF04723	Glycine reductase complex selenoprotein A
PF04724	Glycosyltransferase family 17
PF04725	Photosystem II 10 kDa polypeptide PsbR
PF04726	Microvirus J protein
PF04727	ELMO/CED-12 family
PF04728	Lipoprotein leucine-zipper
PF04729	ASF1 like histone chaperone
PF04730	Agrobacterium VirD5 protein
PF04731	Caudal like protein activation region
PF04732	Intermediate filament head (DNA binding) region
PF04733	Coatomer epsilon subunit
PF04734	Neutral/alkaline non-lysosomal ceramidase, N-terminal
PF04735	Baculovirus DNA helicase
PF04736	Eclosion hormone
PF04738	Lantibiotic dehydratase, N terminus
PF04739	5'-AMP-activated protein kinase beta subunit, interaction domain
PF04740	LXG domain of WXG superfamily
PF04741	InvH outer membrane lipoprotein
PF04744	Monooxygenase subunit B protein
PF04745	VITF-3 subunit protein
PF04746	Protein of unknown function (DUF575)
PF04747	Protein of unknown function, DUF612
PF04748	Divergent polysaccharide deacetylase
PF04749	PLAC8 family
PF04750	FAR-17a/AIG1-like protein
PF04751	Dual-action ribosomal maturation protein DarP
PF04752	ChaC-like protein
PF04753	Coronavirus non-structural protein NS12.7 family
PF04754	Putative transposase, YhgA-like
PF04755	PAP_fibrillin
PF04756	OST3 / OST6 family, transporter family
PF04757	Pex2 / Pex12 amino terminal region
PF04758	Ribosomal protein S30
PF04759	Protein of unknown function, DUF617
PF04760	Translation initiation factor IF-2, N-terminal region
PF04761	Lactococcus bacteriophage putative transcription regulator
PF04762	ELP1 first N-terminal beta-propeller
PF04763	Protein of unknown function (DUF562)
PF04764	Protein of unknown function (DUF613)
PF04765	TOD1/MUCI70, glycosyltransferase-like domain
PF04766	Nucleopolyhedrovirus p26 protein
PF04767	DNA-binding 11 kDa phosphoprotein
PF04768	NAT, N-acetyltransferase, of N-acetylglutamate synthase
PF04769	Mating-type protein MAT alpha 1 HMG-box
PF04770	ZF-HD protein dimerisation region
PF04771	Chicken anaemia virus VP-3 protein
PF04772	Influenza B matrix protein 2 (BM2)
PF04773	FecR protein
PF04774	Hyaluronan / mRNA binding family
PF04775	Acyl-CoA thioester hydrolase/BAAT N-terminal region
PF04776	Protein MS5
PF04777	Erv1 / Alr family
PF04778	LMP repeated region
PF04780	Protein of unknown function (DUF629)
PF04781	Protein of unknown function (DUF627)
PF04782	Protein of unknown function (DUF632)
PF04783	Protein of unknown function (DUF630)
PF04784	Protein of unknown function, DUF547
PF04785	Rhabdovirus matrix protein M2
PF04786	ssDNA binding protein
PF04787	Late protein H7
PF04788	Protein of unknown function (DUF620)
PF04789	Protein of unknown function (DUF621)
PF04790	Sarcoglycan complex subunit protein
PF04791	LMBR1-like membrane protein
PF04792	V antigen (LcrV) protein
PF04793	BRRF1-like protein
PF04794	YdjC-like protein
PF04795	PAPA-1-like conserved region
PF04796	Plasmid encoded RepA protein
PF04797	Herpesvirus dUTPase protein
PF04798	Baculovirus 19 kDa protein conserved region
PF04799	fzo-like conserved region
PF04800	NADH dehydrogenase ubiquinone Fe-S protein 4
PF04801	RPC5 protein
PF04802	Phosphatase 4 regulatory subunit 3
PF04803	Cor1/Xlr/Xmr conserved region
PF04805	E10-like protein conserved region
PF04806	EspF protein repeat
PF04807	Geminivirus AC4/5 conserved region
PF04808	Citrus tristeza virus (CTV) P23 protein
PF04809	HupH hydrogenase expression protein, C-terminal conserved region
PF04810	Sec23/Sec24 zinc finger
PF04811	Sec23/Sec24 trunk domain
PF04812	Hepatocyte nuclear factor 1 (HNF-1), beta isoform C terminus
PF04813	Hepatocyte nuclear factor 1 (HNF-1), alpha isoform C terminus
PF04814	Hepatocyte nuclear factor 1 (HNF-1), N terminus
PF04815	Sec23/Sec24 helical domain
PF04816	tRNA (adenine(22)-N(1))-methyltransferase
PF04817	Umbravirus long distance movement (LDM) family
PF04818	CID domain
PF04819	Family of unknown function (DUF716)
PF04820	Tryptophan halogenase
PF04821	Timeless protein
PF04822	Takusan
PF04823	Herpesvirus UL49 tegument protein
PF04824	Conserved region of Rad21 / Rec8 like protein
PF04825	N terminus of Rad21 / Rec8 like protein
PF04826	Armadillo-like
PF04827	Plant transposon protein
PF04828	Glutathione-dependent formaldehyde-activating enzyme
PF04829	Pre-toxin domain with VENN motif
PF04830	Possible hemagglutinin (DUF637)
PF04831	POPDC1-3
PF04832	SOUL heme-binding protein
PF04833	COBRA N-terminal domain
PF04834	Early E3 14.5 kDa protein
PF04835	A9 protein conserved region
PF04836	Interferon-related protein conserved region
PF04838	Baculoviridae late expression factor 5
PF04839	Plastid and cyanobacterial ribosomal protein (PSRP-3 / Ycf65)
PF04840	Vps16, C-terminal region
PF04841	Vps16, N-terminal region
PF04842	Plant protein of unknown function (DUF639)
PF04843	Herpesvirus tegument protein, N-terminal conserved region
PF04844	Transcriptional repressor, ovate
PF04845	PurA ssDNA and RNA-binding protein
PF04846	Herpesvirus pp38 phosphoprotein
PF04847	Calcipressin
PF04848	Poxvirus A22 protein
PF04849	HAP1 N-terminal conserved region
PF04850	Baculovirus E66 occlusion-derived virus envelope protein
PF04851	Type III restriction enzyme, res subunit
PF04852	ALOG domain
PF04854	Protein of unknown function, DUF624
PF04855	SNF5 / SMARCB1 / INI1
PF04856	Securin sister-chromatid separation inhibitor
PF04857	CAF1 family ribonuclease
PF04858	TH1 protein
PF04859	Plant protein of unknown function (DUF641)
PF04860	Phage portal protein
PF04862	Protein of unknown function (DUF642)
PF04863	Alliinase EGF-like domain
PF04864	Allinase
PF04865	Baseplate J-like protein barrel domain
PF04866	Rotavirus non-structural protein 6
PF04867	Protein of unknown function (DUF643)
PF04868	Retinal cGMP phosphodiesterase, gamma subunit
PF04869	Uso1 / p115 like vesicle tethering protein, head region
PF04870	Moulting cycle
PF04871	Uso1 / p115 like vesicle tethering protein, C terminal region
PF04872	Poxvirus L5 protein family
PF04873	Ethylene insensitive 3, DNA-binding domain
PF04874	Mak16 protein C-terminal region
PF04875	Protein of unknown function, DUF645
PF04876	Tenuivirus major non-capsid protein
PF04877	HrpZ
PF04878	Baculovirus P48 protein
PF04879	Molybdopterin oxidoreductase Fe4S4 domain
PF04880	NUDE protein, C-terminal conserved region
PF04881	Adenovirus GP19K
PF04882	Peroxin-3
PF04883	Bacteriophage HK97-gp10, putative tail-component
PF04884	Vitamin B6 photo-protection and homoeostasis domain
PF04885	Stigma-specific STIG1-like protein family
PF04886	PT disordered repeat
PF04887	Poxvirus M2 protein
PF04888	Secretion system effector C (SseC) like family
PF04889	Cwf15/Cwc15 cell cycle control protein
PF04890	Family of unknown function (DUF648)
PF04891	NifQ
PF04892	VanZ/LLP1
PF04893	Yip1 domain
PF04894	Archaeal Nre, N-terminal
PF04895	Archaeal Nre, C-terminal
PF04896	Ammonia monooxygenase/methane monooxygenase, subunit C
PF04898	Glutamate synthase central domain
PF04899	MbeD/MobD like
PF04900	Fcf1
PF04901	Receptor activity modifying family
PF04902	Conserved region in Nab1
PF04904	NAB conserved region 1 (NCD1) SAM domain
PF04905	NAB conserved region 2 (NCD2)
PF04906	Tweety
PF04908	SH3-binding, glutamic acid-rich protein
PF04909	Amidohydrolase
PF04910	Transcriptional repressor TCF25
PF04911	ATP synthase j chain
PF04912	Dynamitin
PF04913	Baculovirus Y142 protein
PF04914	DltD protein
PF04916	Phospholipase B
PF04917	Bacterial shufflon protein, N-terminal constant region
PF04919	Protein of unknown function (DUF655)
PF04920	Beet necrotic yellow vein virus, p31
PF04921	XAP5, circadian clock regulator C-terminal domain
PF04922	DIE2/ALG10 family
PF04923	Ninjurin
PF04924	Poxvirus A6 protein
PF04925	SHQ1 protein, Shq1 domain
PF04926	Poly(A) polymerase predicted RNA binding domain
PF04927	Seed maturation protein
PF04928	Poly(A) polymerase central domain
PF04929	Herpes DNA replication accessory factor
PF04930	FUN14 family
PF04931	DNA polymerase phi
PF04932	O-Antigen ligase
PF04934	MED6 mediator sub complex component
PF04935	Surfeit locus protein 6
PF04936	Protein of unknown function (DUF658)
PF04937	Domain of unknown function (DUF659)
PF04938	Survival motor neuron (SMN) interacting protein 1 (SIP1)
PF04939	Ribosome biogenesis regulatory protein (RRS1)
PF04940	Sensors of blue-light using FAD
PF04941	Late expression factor 8 (LEF-8)
PF04942	CC domain
PF04943	Poxvirus F11 protein
PF04945	YHS domain
PF04947	Poxvirus Late Transcription Factor VLTF3 like
PF04948	Poxvirus A51 protein
PF04949	Transcriptional activator
PF04950	40S ribosome biogenesis protein Tsr1 and BMS1 C-terminal
PF04951	D-aminopeptidase
PF04952	AstE/AspA barrel-sandwich hybrid domain
PF04954	Siderophore-interacting protein
PF04955	HupE / UreJ protein
PF04956	TrbC/VIRB2 pilin
PF04957	Ribosome modulation factor
PF04958	Arginine N-succinyltransferase beta subunit
PF04959	Arsenite-resistance protein 2
PF04960	Glutaminase
PF04961	Formiminotransferase-cyclodeaminase
PF04962	KduI/IolB family
PF04963	Sigma-54 factor, core binding domain
PF04964	Flp/Fap pilin component
PF04965	Baseplate wedge protein gp25
PF04966	Carbohydrate-selective porin, OprB family
PF04967	HTH DNA binding domain
PF04968	CHORD
PF04969	CS domain
PF04970	Lecithin retinol acyltransferase
PF04971	Bacteriophage P21 holin S
PF04972	BON domain
PF04973	Nicotinamide mononucleotide transporter
PF04976	DMSO reductase anchor subunit (DmsC)
PF04977	Septum formation initiator
PF04978	Mycothiol-S-transferase
PF04979	Protein phosphatase inhibitor 2 (IPP-2)
PF04981	NMD3, second domain
PF04982	HPP, transmembrane region
PF04983	RNA polymerase Rpb1, domain 3
PF04984	Phage tail sheath protein central domain
PF04985	Phage tail tube protein FII
PF04986	Putative transposase
PF04987	Phosphatidylinositolglycan class N (PIG-N)
PF04988	A-kinase anchoring protein 95 (AKAP95)
PF04989	Rhamnosyl O-methyltransferase/CmcI
PF04990	RNA polymerase Rpb1, domain 7
PF04991	LicD/FKTN/FKRP, nucleotidyltransferase domain
PF04992	RNA polymerase Rpb1, domain 6
PF04993	TfoX N-terminal domain
PF04994	TfoX C-terminal domain
PF04995	Heme exporter protein D (CcmD)
PF04996	Succinylarginine dihydrolase
PF04997	RNA polymerase Rpb1, domain 1
PF04998	RNA polymerase Rpb1, domain 5
PF04999	Cell division protein FtsL
PF05000	RNA polymerase Rpb1, domain 4
PF05001	RNA polymerase Rpb1 C-terminal repeat
PF05002	SGS domain
PF05003	Protein of unknown function (DUF668)
PF05004	Interferon-related developmental regulator (IFRD)
PF05005	Janus/Ocnus family (Ocnus)
PF05006	Per os infectivity factor 3
PF05007	Mannosyltransferase (PIG-M)
PF05008	Vesicle transport v-SNARE protein N-terminus
PF05009	Epstein-Barr virus nuclear antigen 3 (EBNA-3)
PF05010	Transforming acidic coiled-coil-containing protein (TACC), C-terminal
PF05011	Lariat debranching enzyme, C-terminal domain
PF05013	N-formylglutamate amidohydrolase
PF05014	Nucleoside 2-deoxyribosyltransferase
PF05015	RelE-like toxin of type II toxin-antitoxin system HigB
PF05016	ParE toxin of type II toxin-antitoxin system, parDE
PF05017	TMP repeat
PF05018	CFA20 domain
PF05019	Coenzyme Q (ubiquinone) biosynthesis protein Coq4
PF05020	NPL4 family, putative zinc binding region
PF05021	NPL4 family
PF05022	SRP40, C-terminal domain
PF05023	Phytochelatin synthase
PF05024	N-acetylglucosaminyl transferase component (Gpi1)
PF05025	RbsD / FucU transport protein family
PF05026	Dcp2, box A domain
PF05028	Poly (ADP-ribose) glycohydrolase (PARG), Macro domain fold
PF05029	Timeless-like, PAB domain
PF05030	SSXT protein (N-terminal region)
PF05031	Iron Transport-associated domain
PF05032	Spo12 family
PF05033	Pre-SET motif
PF05034	Methylaspartate ammonia-lyase N-terminus
PF05035	2-keto-3-deoxy-galactonokinase
PF05036	SPOR domain
PF05037	Protein of unknown function (DUF669)
PF05038	Cytochrome Cytochrome b558 alpha-subunit
PF05039	Agouti protein
PF05041	Pecanex protein (C-terminus)
PF05042	Caleosin related protein
PF05043	Mga helix-turn-helix domain
PF05044	Homeo-prospero domain
PF05045	Rhamnan synthesis protein F
PF05046	Mitochondrial large subunit ribosomal protein (Img2)
